hours,dH_curl,dH_roll
-77.0,-0.521482,-0.259160
-76.0,-0.396404,-0.317569
-75.0,-0.443846,-0.380033
-74.0,-0.854902,-0.440844
-73.0,-0.455185,-0.486742
-72.0,-0.482549,-0.512404
-71.0,-0.523171,-0.519312
-70.0,-0.541758,-0.519102
-69.0,-0.476930,-0.571110
-68.0,-0.486787,-0.632423
-67.0,-0.546568,-0.643479
-66.0,-0.502156,-0.675395
-65.0,-0.518962,-0.724147
-64.0,-1.020509,-0.796197
-63.0,-1.179599,-0.878279
-62.0,-0.987574,-0.978784
-61.0,-0.838175,-1.081783
-60.0,-1.067579,-1.151614
-59.0,-1.387762,-1.135895
-58.0,-1.526751,-1.126537
-57.0,-1.682989,-1.077470
-56.0,-1.722770,-1.018036
-55.0,-1.384546,-0.994721
-54.0,-0.313524,-0.936901
-53.0,-0.406664,-0.900477
-52.0,-0.431708,-0.829163
-51.0,-0.466392,-0.741880
-50.0,-0.707791,-0.640088
-49.0,-0.144333,-0.528182
-48.0,-0.630496,-0.440103
-47.0,-0.531989,-0.436857
-46.0,-0.479354,-0.442209
-45.0,-0.461490,-0.439072
-44.0,-0.379901,-0.436525
-43.0,-0.327594,-0.425953
-42.0,-0.274576,-0.479664
-41.0,-0.470883,-0.503875
-40.0,-0.394063,-0.541409
-39.0,-0.435831,-0.583196
-38.0,-0.580920,-0.621078
-37.0,-0.788867,-0.659212
-36.0,-0.921031,-0.698292
-35.0,-0.982401,-0.737611
-34.0,-0.980789,-0.763571
-33.0,-0.916083,-0.821229
-32.0,-0.837501,-0.877326
-31.0,-0.796561,-0.875520
-30.0,-0.746406,-0.851496
-29.0,-0.782399,-0.807922
-28.0,-1.085961,-0.764062
-27.0,-1.108997,-0.734156
-26.0,-0.559239,-0.728967
-25.0,-0.500588,-0.766857
-24.0,-0.398134,-0.848995
-23.0,-0.456087,-0.929629
-22.0,-0.621917,-0.988905
-21.0,-0.853811,-1.004449
-20.0,-1.292188,-1.002387
-19.0,-1.782214,-1.011609
-18.0,-1.714017,-1.023957
-17.0,-1.493711,-1.039059
-16.0,-1.272492,-1.041815
-15.0,-1.084243,-1.042407
-14.0,-0.669912,-1.052221
-13.0,-0.648759,-1.084936
-12.0,-0.579359,-1.177337
-11.0,-0.489161,-1.337576
-10.0,-0.629017,-1.527769
-9.0,-0.971583,-1.662540
-8.0,-1.684763,-1.759461
-7.0,-2.891023,-1.789102
-6.0,-3.636894,-1.797788
-5.0,-3.776024,-1.797151
-4.0,-2.889737,-1.832557
-3.0,-2.247296,-1.856960
-2.0,-1.025611,-1.820705
-1.0,-0.752985,-1.737048
0.0,-0.571722,-1.575061
1.0,-0.914023,-1.345126
2.0,-0.921860,-1.098056
3.0,-0.536521,-0.922752
4.0,-0.680880,-0.785625
5.0,-0.947178,-0.740315
6.0,-0.877678,-0.701937
7.0,-0.811176,-0.669366
8.0,-0.786088,-0.614054
9.0,-0.601777,-0.569833
10.0,-0.481892,-0.562834
11.0,-0.292453,-0.547966
12.0,-0.180861,-0.509176
13.0,-0.250289,-0.476501
14.0,-0.391203,-0.451658
15.0,-0.452536,-0.437594
16.0,-0.502460,-0.443615
17.0,-0.481697,-0.479799
18.0,-0.485585,-0.542312
19.0,-0.513055,-0.629217
20.0,-0.617324,-0.729340
21.0,-0.674025,-0.821783
22.0,-0.916097,-0.909794
23.0,-1.042613,-0.987610
24.0,-1.223725,-1.069414
25.0,-1.451762,-1.159334
26.0,-1.500513,-1.250050
27.0,-1.508670,-1.329307
28.0,-1.436257,-1.405127
29.0,-1.463336,-1.447606
30.0,-1.564636,-1.466707
31.0,-1.601639,-1.475922
32.0,-1.568417,-1.465498
33.0,-1.583864,-1.456171
34.0,-1.425837,-1.454528
35.0,-1.271833,-1.468665
36.0,-1.334298,-1.490771
37.0,-1.326680,-1.503332
38.0,-1.388586,-1.522228
39.0,-1.488953,-1.545113
40.0,-1.605896,-1.567851
41.0,-1.728619,-1.569260
42.0,-1.715359,-1.584629
43.0,-1.828399,-1.600254
44.0,-1.843032,-1.620241
45.0,-1.856724,-1.658212
46.0,-1.442739,-1.716175
47.0,-1.456266,-1.773585
48.0,-1.521800,-1.807196
49.0,-1.566514,-1.819388
50.0,-1.844242,-1.819764
51.0,-2.184515,-1.800818
52.0,-2.294814,-1.784918
53.0,-2.131944,-1.808443
54.0,-1.861667,-1.838624
55.0,-1.832910,-1.868665
56.0,-1.615687,-1.887154
57.0,-1.665923,-1.869612
58.0,-1.725039,-1.832443
59.0,-1.818435,-1.777018
60.0,-1.882288,-1.740442
61.0,-1.788390,-1.734590
62.0,-1.633732,-1.735444
63.0,-1.738490,-1.767378
64.0,-1.629711,-1.788602
65.0,-1.693035,-1.777776
66.0,-1.791441,-1.768509
67.0,-1.843153,-1.767408
68.0,-1.998895,-1.775046
69.0,-1.920616,-1.790608
70.0,-1.595131,-1.804411
71.0,-1.707228,-1.836468
72.0,-1.869075,-1.909503
73.0,-1.880051,-2.025656
74.0,-1.820469,-2.156629
75.0,-1.904125,-2.268216
76.0,-2.014398,-2.368163
77.0,-2.569449,-2.435490
78.0,-3.185287,-2.484177
79.0,-3.414823,-2.501334
80.0,-3.337939,-2.504934
81.0,-3.119987,-2.512451
82.0,-2.403044,-2.511448
83.0,-2.291473,-2.503606
84.0,-2.074957,-2.452336
85.0,-1.923262,-2.350257
86.0,-1.910667,-2.230464
87.0,-1.892085,-2.118970
88.0,-1.920298,-2.020058
89.0,-1.954211,-1.999811
90.0,-1.960339,-1.985547
