hours,dH_curl,dH_roll
685.0,-1.161641,-0.625176
686.0,-1.280648,-0.617978
687.0,-1.542195,-0.637313
688.0,-1.283550,-0.621447
689.0,-1.036772,-0.557139
690.0,0.020817,-0.500518
691.0,-0.071309,-0.452029
692.0,-0.379597,-0.336131
693.0,0.002842,-0.252295
694.0,0.516365,-0.142655
695.0,0.452492,-0.014546
696.0,0.338844,0.072652
697.0,0.229143,0.059927
698.0,-0.274615,0.050863
699.0,-0.226518,0.062159
700.0,0.253756,0.039701
701.0,0.009606,0.001593
702.0,-0.131881,-0.046686
703.0,-0.180086,-0.099880
704.0,-0.244041,-0.138835
705.0,-0.266650,-0.137229
706.0,0.059069,-0.143829
707.0,-0.126857,-0.168295
708.0,-0.299488,-0.168616
709.0,-0.238310,-0.152547
710.0,-0.255353,-0.164788
711.0,-0.305707,-0.178215
712.0,-0.039846,-0.197722
713.0,0.005756,-0.253384
714.0,0.060945,-0.300995
715.0,-0.326972,-0.339059
716.0,-0.405161,-0.369410
717.0,-0.500742,-0.397153
718.0,-0.608870,-0.417433
719.0,-0.698194,-0.408049
720.0,-0.756260,-0.405936
721.0,-0.602513,-0.411972
722.0,-0.588268,-0.388982
723.0,-0.549073,-0.356755
724.0,0.072761,-0.304467
725.0,0.031116,-0.236830
726.0,-0.011492,-0.160864
727.0,-0.051088,-0.076563
728.0,-0.018441,-0.054760
729.0,0.126715,-0.051531
730.0,0.202769,-0.074782
731.0,0.213402,-0.137789
732.0,0.255355,-0.196252
733.0,-0.340877,-0.246911
734.0,-0.549524,-0.288363
735.0,-0.828080,-0.330488
736.0,-0.683329,-0.388591
737.0,-0.670436,-0.452969
738.0,-0.619403,-0.573319
739.0,-0.548506,-0.732550
740.0,-0.523938,-0.873176
741.0,-0.570525,-0.982005
742.0,-0.569763,-1.027814
743.0,-1.230802,-1.031573
744.0,-1.655414,-1.017871
745.0,-2.028393,-0.956635
746.0,-1.855467,-0.894720
747.0,-1.377795,-0.833428
748.0,-0.728428,-0.780012
749.0,-0.506013,-0.729811
750.0,0.115429,-0.613895
751.0,0.194471,-0.457806
752.0,0.211560,-0.275515
753.0,0.070473,-0.177457
754.0,0.032652,-0.126713
755.0,0.160187,-0.072579
756.0,0.217659,-0.029395
757.0,0.159089,-0.041024
758.0,-0.678770,-0.057658
759.0,-0.768866,-0.070741
760.0,-0.078817,-0.122858
761.0,0.012198,-0.191851
